level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1191	1684	-1	
2	1	1	0	0	0	181	90	839	1501	-1	
3	1	1	1	0	0	181	90	505	101	-1	
4	1	1	1	1	0	559	90	127	17	-1	
5	1	1	1	1	1	559	90	14	17	72.204330	智
5	1	1	1	1	2	581	91	19	15	92.616089	灵
5	1	1	1	1	3	601	90	26	16	92.113876	动力
5	1	1	1	1	4	641	85	8	30	90.398605	|
5	1	1	1	1	5	647	92	39	15	83.400612	Q&A
4	1	1	1	2	0	181	163	469	28	-1	
5	1	1	1	2	1	181	167	44	24	67.207832	Qo:
5	1	1	1	2	2	254	163	45	27	96.869415	主要
5	1	1	1	2	3	309	164	46	26	90.453506	风险
5	1	1	1	2	4	366	164	16	26	96.610031	与
5	1	1	1	2	5	397	165	14	26	93.221077	最
5	1	1	1	2	6	424	165	15	25	93.209000	强
5	1	1	1	2	7	449	164	46	26	96.760796	反方
5	1	1	1	2	8	509	164	59	26	96.457954	观点
5	1	1	1	2	9	581	164	10	26	96.942101	是
5	1	1	1	2	10	595	159	47	44	93.281960	什么
5	1	1	1	2	11	641	164	9	22	93.087540	?
3	1	1	2	0	0	182	222	837	101	-1	
4	1	1	2	1	0	224	222	795	21	-1	
5	1	1	2	1	1	224	223	28	19	93.278770	最
5	1	1	2	1	2	254	223	10	19	93.079262	强
5	1	1	2	1	3	273	223	33	19	95.805992	反方
5	1	1	2	1	4	317	223	46	19	96.847069	观点
5	1	1	2	1	5	375	229	3	9	93.169067	是
5	1	1	2	1	6	377	218	9	34	91.959732	:
5	1	1	2	1	7	402	223	10	19	92.103256	智
5	1	1	2	1	8	421	224	13	18	92.965828	灵
5	1	1	2	1	9	445	218	41	34	96.352554	动力
5	1	1	2	1	10	485	223	13	19	96.896660	可
5	1	1	2	1	11	506	223	13	19	96.679436	能
5	1	1	2	1	12	528	223	12	18	95.441101	只
5	1	1	2	1	13	551	223	24	19	96.773361	是
5	1	1	2	1	14	574	218	20	34	96.985069	处
5	1	1	2	1	15	594	224	10	18	96.963303	于
5	1	1	2	1	16	613	223	47	20	96.173988	概念
5	1	1	2	1	17	670	223	14	19	96.805962	或
5	1	1	2	1	18	693	223	18	19	96.893715	试点
5	1	1	2	1	19	721	223	48	19	96.923813	阶段
5	1	1	2	1	20	768	218	16	34	96.565895	的
5	1	1	2	1	21	781	225	21	14	94.148056	AI
5	1	1	2	1	22	817	223	45	19	94.148056	医疗
5	1	1	2	1	23	876	224	10	18	93.213867	项
5	1	1	2	1	24	897	236	3	5	85.148514	目
5	1	1	2	1	25	904	218	20	34	91.092804	，
5	1	1	2	1	26	923	223	24	19	93.089714	尚
5	1	1	2	1	27	957	224	11	17	96.885643	未
5	1	1	2	1	28	980	225	5	13	93.259163	证
5	1	1	2	1	29	985	224	12	18	93.028809	明
5	1	1	2	1	30	1006	223	13	19	91.856857	数
4	1	1	2	2	0	182	263	837	20	-1	
5	1	1	2	2	1	182	263	27	19	91.450409	据
5	1	1	2	2	2	208	259	24	33	92.794975	、
5	1	1	2	2	3	224	263	48	19	92.453445	技
5	1	1	2	2	4	256	259	17	33	92.490196	术
5	1	1	2	2	5	272	259	20	33	93.173462	、
5	1	1	2	2	6	288	263	48	19	91.641502	合
5	1	1	2	2	7	320	259	19	33	92.935608	规
5	1	1	2	2	8	351	263	7	19	92.890823	、
5	1	1	2	2	9	358	263	27	19	92.916710	付
5	1	1	2	2	10	394	264	7	19	92.448776	费
5	1	1	2	2	11	405	266	7	15	93.277451	和
5	1	1	2	2	12	421	263	35	19	96.195541	规模
5	1	1	2	2	13	466	263	47	20	96.913437	复制
5	1	1	2	2	14	522	263	27	19	91.122993	闭环
5	1	1	2	2	15	549	259	9	33	86.573013	;
5	1	1	2	2	16	565	263	112	20	96.232964	通用
5	1	1	2	2	17	613	259	21	33	96.550034	大
5	1	1	2	2	18	633	263	44	20	93.204285	模型
5	1	1	2	2	19	681	259	19	33	92.990845	、
5	1	1	2	2	20	699	263	26	20	92.057266	成
5	1	1	2	2	21	736	264	10	18	91.857147	熟
5	1	1	2	2	22	745	259	21	33	91.936699	医
5	1	1	2	2	23	765	263	11	20	87.523788	疗
5	1	1	2	2	24	788	265	14	14	45.075424	IT
5	1	1	2	2	25	811	263	37	19	71.790520	厂商
5	1	1	2	2	26	858	264	11	18	96.765816	及
5	1	1	2	2	27	879	263	33	19	93.135139	医院
5	1	1	2	2	28	922	263	8	20	93.243530	自
5	1	1	2	2	29	943	264	12	19	93.198540	研
5	1	1	2	2	30	965	263	11	19	93.298622	能
5	1	1	2	2	31	986	263	11	19	93.198517	力
5	1	1	2	2	32	1007	264	12	18	96.788361	又
4	1	1	2	3	0	182	303	762	20	-1	
5	1	1	2	3	1	182	303	18	19	96.896095	可
5	1	1	2	3	2	206	303	19	20	96.451157	能
5	1	1	2	3	3	231	303	44	19	96.389030	快速
5	1	1	2	3	4	278	303	27	19	91.802116	削弱
5	1	1	2	3	5	316	303	11	20	96.326454	其
5	1	1	2	3	6	336	303	47	20	95.424538	功能
5	1	1	2	3	7	392	304	27	19	92.287895	差异
5	1	1	2	3	8	419	299	19	33	92.317101	。
5	1	1	2	3	9	437	303	16	20	93.115860	在
5	1	1	2	3	10	462	303	44	20	93.294968	缺乏
